Signing Year,Rank,Player,Position,Team,Age,Contract Length,Total Value,Avg. Value,Guaranteed Money,Contract Type
2011,1,Kevin Durant,SF,OKC,22,5,"$89,163,134","$17,832,627","$89,163,134",rookie-maximum-extension
2011,2,Kobe Bryant,SF,LAL,32,3,"$83,547,447","$27,849,149","$83,547,447",Veteran Extension
2011,3,Zach Randolph,PF,MEM,29,4,"$66,000,000","$16,500,000","$66,000,000",Veteran Extension
2011,T4,Al Horford,C,ATL,24,5,"$60,000,000","$12,000,000","$60,000,000",Rookie Extension
2011,T4,Joakim Noah,C,CHI,25,5,"$60,000,000","$12,000,000","$60,000,000",Rookie Extension
2011,6,Pau Gasol,C,LAL,30,3,"$57,000,000","$19,000,000","$57,000,000",Veteran Extension
2011,7,Tony Parker,PG,SAS,28,4,"$50,000,000","$12,500,000","$41,000,000",Veteran Extension
2011,8,Mike Conley,PG,MEM,23,5,"$40,000,000","$8,000,000","$40,000,000",Rookie Extension
2011,9,Jared Dudley,SF,PHX,25,5,"$21,250,000","$4,250,000","$21,250,000",Rookie Extension
2011,10,Nick Collison,PF,OKC,30,4,"$11,030,000","$2,757,500","$11,030,000",Veteran Extension
2011,11,Nazr Mohammed,C,OKC,33,1,"$3,750,000","$3,750,000","$3,750,000",Veteran Extension
2012,1,Derrick Rose,PG,CHI,23,5,"$94,314,380","$18,862,876","$94,314,380",Designated Rookie Extension
2012,2,Russell Westbrook,PG,OKC,23,5,"$78,595,310","$15,719,062","$78,595,310",Designated Rookie Extension
2012,3,Carmelo Anthony,PF,NYK,27,3,"$64,166,861","$21,388,954","$64,166,861",Veteran Extension
2012,4,Kevin Love,C,MIN,23,4,"$60,825,938","$15,206,485","$60,825,938",rookie-maximum-extension
2012,5,Danilo Gallinari,PF,DEN,23,4,"$42,000,000","$10,500,000","$42,000,000",Rookie Extension
2012,6,Kosta Koufos,C,DEN,22,3,"$9,000,000","$3,000,000","$9,000,000",Rookie Extension
2013,1,Chris Paul,PG,LAC,27,5,"$107,343,477","$21,468,695","$107,343,477",Maximum Veteran Extension
2013,2,Blake Griffin,C,LAC,23,5,"$94,538,626","$18,907,725","$94,538,626",Designated Rookie Extension
2013,3,Dwight Howard,C,HOU,27,4,"$87,591,270","$21,897,818","$87,591,270",Maximum Veteran Extension
2013,4,James Harden,SG,HOU,23,5,"$78,782,188","$15,756,438","$78,782,188",Designated Rookie Extension
2013,5,Serge Ibaka,C,OKC,23,4,"$49,400,000","$12,350,000","$49,400,000",Rookie Extension
2013,6,Ty Lawson,PG,DEN,25,4,"$48,000,000","$12,000,000","$48,000,000",Veteran Extension
2013,7,Stephen Curry,PG,GSW,24,4,"$44,000,000","$11,000,000","$44,000,000",Rookie Extension
2013,8,Jrue Holiday,PG,PHI,22,4,"$41,000,004","$10,250,001","$41,000,004",Rookie Extension
2013,9,DeMar DeRozan,SF,TOR,23,4,"$38,000,000","$9,500,000","$38,000,000",Rookie Extension
2013,10,Taj Gibson,C,CHI,27,4,"$33,000,000","$8,250,000","$33,000,000",Rookie Extension
2014,1,Paul George,SG,IND,23,5,"$91,572,660","$18,314,532","$91,572,660",Designated Rookie Extension
2014,2,John Wall,PG,WAS,23,5,"$84,789,500","$16,957,900","$84,789,500",Designated Rookie Extension
2014,3,Eric Bledsoe,PG,PHX,24,5,"$70,000,000","$14,000,000","$70,000,000",Rookie Extension
2014,4,DeMarcus Cousins,C,SAC,23,4,"$65,619,700","$16,404,925","$65,619,700",Designated Rookie Extension
2014,5,Kobe Bryant,SF,LAL,35,2,"$48,500,000","$24,250,000","$48,500,000",Veteran Extension
2014,6,Derrick Favors,C,UTA,22,4,"$46,950,000","$11,737,500","$46,950,000",Rookie Extension
2014,7,Larry Sanders,C,MIL,25,4,"$44,000,000","$11,000,000","$44,000,000",Rookie Extension
2014,8,Andrew Bogut,C,GSW,29,3,"$36,000,000","$12,000,000","$36,000,000",Veteran Extension
2014,9,Quincy Pondexter,SG,MEM,25,4,"$14,000,000","$3,500,000","$14,000,000",Rookie Extension
2015,T1,Kyrie Irving,PG,CLE,22,5,"$94,343,126","$18,868,625","$94,343,126",Designated Rookie Extension
2015,T1,Kawhi Leonard,SF,SAS,23,5,"$94,343,126","$18,868,625","$94,343,126",rookie-maximum-extension
2015,3,Klay Thompson,SG,GSW,24,4,"$68,979,450","$17,244,863","$68,979,450",Rookie Extension
2015,4,Ricky Rubio,PG,MIN,24,4,"$55,000,000","$13,750,000","$55,000,000",Rookie Extension
2015,5,Nikola Vucevic,C,ORL,24,4,"$53,000,000","$13,250,000","$48,000,000",Rookie Extension
2015,6,Kenneth Faried,PF,DEN,25,4,"$50,000,000","$12,500,000","$50,000,000",Rookie Extension
2015,7,Kemba Walker,PG,CHA,24,4,"$48,000,000","$12,000,000","$48,000,000",Rookie Extension
2015,8,Wilson Chandler,SF,DEN,27,4,"$46,500,000","$11,625,000","$46,500,000",Veteran Extension
2015,9,Danilo Gallinari,PF,DEN,26,3,"$45,150,000","$15,050,000","$45,150,000",Veteran Extension
2015,10,Tony Parker,PG,SAS,32,3,"$43,335,939","$14,445,313","$43,335,939",Veteran Extension
2015,11,Alec Burks,SG,UTA,23,4,"$42,000,000","$10,500,000","$41,000,000",Rookie Extension
2015,12,Rudy Gay,PF,SAC,28,3,"$40,000,000","$13,333,333","$40,000,000",Veteran Extension
2015,13,Markieff Morris,PF,PHX,25,4,"$32,000,000","$8,000,000","$32,000,000",Rookie Extension
2015,14,Anderson Varejao,PF,CLE,32,3,"$30,000,000","$10,000,000","$9,638,554",Veteran Extension
2015,T15,Marcus Morris Sr.,SF,PHX,25,4,"$20,000,000","$5,000,000","$20,000,000",Rookie Extension
2015,T15,Zach Randolph,PF,MEM,33,2,"$20,000,000","$10,000,000",Veteran Extension,Veteran Extension
2015,17,Nick Collison,PF,OKC,34,2,"$7,500,000","$3,750,000","$7,500,000",Veteran Extension
2016,1,Damian Lillard,PG,POR,25,5,"$139,888,445","$27,977,689","$139,888,445",Designated Rookie Extension
2016,2,Anthony Davis,C,NOP,22,5,"$127,171,313","$25,434,263","$127,171,313",Maximum Veteran Extension
2016,3,James Harden,SG,HOU,26,4,"$117,964,846","$29,491,212","$117,964,846",Maximum Veteran Extension
2016,4,Russell Westbrook,PG,OKC,27,3,"$85,591,823","$28,530,608","$85,591,823",Maximum Veteran Extension
2016,5,Jonas Valanciunas,C,TOR,23,4,"$64,000,000","$16,000,000","$64,000,000",Rookie Extension
2016,6,Michael Kidd-Gilchrist,SF,CHA,22,4,"$52,000,000","$13,000,000","$52,000,000",Rookie Extension
2016,7,John Henson,PF,MIL,25,4,"$48,000,000","$12,000,000","$44,000,000",Rookie Extension
2016,8,Terrence Ross,SF,TOR,24,3,"$31,500,000","$10,500,000","$31,500,000",Rookie Extension
2016,9,Jeremy Lamb,SG,CHA,23,3,"$21,000,000","$7,000,000","$21,000,000",Rookie Extension
2017,1,C.J. McCollum,SG,POR,25,4,"$106,633,449","$26,658,362","$106,633,449",Rookie Extension
2017,2,Rudy Gobert,C,UTA,24,4,"$102,000,000","$25,500,000","$94,000,000",Rookie Extension
2017,T3,Giannis Antetokounmpo,PF,MIL,22,4,"$100,000,000","$25,000,000","$100,000,000",Rookie Extension
2017,T3,Steven Adams,C,OKC,23,4,"$100,000,000","$25,000,000","$100,000,000",Rookie Extension
2017,5,Victor Oladipo,SG,OKC,24,4,"$85,000,000","$21,250,000","$84,000,000",Rookie Extension
2017,6,Dennis Schröder,PG,ATL,23,4,"$70,000,000","$17,500,000","$62,000,000",Rookie Extension
2017,7,Gorgui Dieng,C,MIN,26,4,"$62,800,000","$15,700,000","$62,800,000",Rookie Extension
2017,8,Cody Zeller,C,CHA,24,4,"$56,000,000","$14,000,000","$56,000,000",Rookie Extension
2018,1,Russell Westbrook,PG,OKC,29,5,"$206,794,070","$41,358,814","$206,794,070",Designated Veteran Extension
2018,T2,Joel Embiid,C,PHI,23,5,"$147,710,050","$29,542,010","$147,710,050",Designated Rookie Extension
2018,T2,Andrew Wiggins,SF,MIN,22,5,"$147,710,050","$29,542,010","$147,710,050",Designated Rookie Extension
2018,4,Gary Harris,SG,DEN,23,4,"$84,000,000","$21,000,000","$74,000,000",Rookie Extension
2018,5,T.J. Warren,SF,PHX,24,4,"$47,000,000","$11,750,000","$47,000,000",Rookie Extension
2018,6,Robert Covington,PF,PHI,27,4,"$46,879,127","$11,719,782","$46,879,127",Veteran Extension
2018,T7,Josh Richardson,SG,MIA,24,4,"$41,965,056","$10,491,264","$41,965,056",Veteran Extension
2018,T7,Norman Powell,SG,TOR,24,4,"$41,965,056","$10,491,264","$41,965,056",Rookie Extension
2018,9,Louis Williams,SG,LAC,31,3,"$24,000,000","$8,000,000","$24,000,000",Veteran Extension
2019,T1,James Harden,SG,HOU,29,4,"$171,131,520","$42,782,880","$171,131,520",Designated Veteran Extension
2019,T1,John Wall,PG,WAS,28,4,"$171,131,520","$42,782,880","$171,131,520",Designated Veteran Extension
2019,T3,Devin Booker,SG,PHX,22,5,"$158,253,000","$31,650,600","$158,253,000",Designated Rookie Extension
2019,T3,Karl-Anthony Towns,C,MIN,23,5,"$158,253,000","$31,650,600","$158,253,000",Designated Rookie Extension
2019,5,Kevin Love,C,CLE,30,4,"$120,402,172","$30,100,543","$120,402,172",Veteran Extension
2019,6,Myles Turner,C,IND,22,4,"$80,000,000","$20,000,000","$70,000,000",Rookie Extension
2019,7,Eric Bledsoe,PG,MIL,29,4,"$70,000,000","$17,500,000","$54,525,000",Veteran Extension
2019,8,LaMarcus Aldridge,PF,SAS,33,2,"$50,000,000","$25,000,000","$50,000,000",Veteran Extension
2019,9,Larry Nance Jr.,PF,CLE,25,4,"$44,800,000","$11,200,000","$44,800,000",Rookie Extension
2019,10,Spencer Dinwiddie,PG,BKN,25,3,"$34,362,144","$11,454,048","$34,362,144",Veteran Extension
2019,11,Justise Winslow,SF,MIA,22,2,"$26,000,000","$13,000,000","$26,000,000",Rookie Extension
2020,1,Ben Simmons,PG,PHI,23,5,"$177,243,360","$35,448,672","$177,243,360",Designated Rookie Extension
2020,2,Jamal Murray,PG,DEN,22,5,"$158,253,000","$31,650,600","$158,253,000",Designated Rookie Extension
2020,3,Pascal Siakam,PF,TOR,25,4,"$136,905,216","$34,226,304","$136,905,216",rookie-maximum-extension
2020,4,Jaylen Brown,SF,BOS,23,4,"$106,333,334","$26,583,334","$103,000,000",Rookie Extension
2020,5,Draymond Green,PF,GSW,29,4,"$99,666,362","$24,916,591","$99,666,362",Veteran Extension
2020,6,Buddy Hield,SG,SAC,27,4,"$94,000,000","$23,500,000","$85,080,068",Rookie Extension
2020,7,Eric Gordon,SG,HOU,31,4,"$75,574,356","$18,893,589","$54,656,454",Veteran Extension
2020,8,Domantas Sabonis,PF,IND,27,4,"$74,900,000","$18,725,000","$74,900,000",Rookie Extension
2020,9,Dejounte Murray,PG,SAS,23,4,"$64,000,000","$16,000,000","$64,000,000",Rookie Extension
2020,10,Caris LeVert,SG,BKN,25,3,"$52,500,000","$17,500,000","$52,500,000",Rookie Extension
2020,11,Royce O'Neale,SF,UTA,26,4,"$36,000,000","$9,000,000","$36,000,000",Veteran Extension
2020,12,Dillon Brooks,SF,MEM,23,3,"$35,000,000","$11,666,667","$35,000,000",Rookie Extension
2020,13,Dwight Powell,C,DAL,28,3,"$33,240,375","$11,080,125","$33,240,375",Veteran Extension
2020,14,Cedi Osman,SF,CLE,24,4,"$31,118,844","$7,779,711","$31,118,844",Veteran Extension
2020,15,Kyle Lowry,PG,TOR,33,1,"$30,500,000","$30,500,000","$30,000,000",Veteran Extension
2020,16,Taurean Prince,PF,BKN,25,2,"$25,250,000","$12,625,000","$25,250,000",Rookie Extension
