Season,Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Honors,Contract Age
2021,58.0,Domantas Sabonis,25.0,IND,PF,47.0,46.0,1632.0,331.0,571.0,0.58,35.0,108.0,0.324,296.0,463.0,0.639,0.61,191.0,258.0,0.74,155.0,412.0,567.0,236.0,46.0,22.0,143.0,146.0,888.0,5.0,,2
2021,58.0,Domantas Sabonis,25.0,SAC,PF,15.0,15.0,504.0,112.0,202.0,0.554,4.0,17.0,0.235,108.0,185.0,0.584,0.564,55.0,74.0,0.743,46.0,139.0,185.0,87.0,13.0,5.0,52.0,57.0,283.0,0.0,,2
2021,76.0,Kevin Love,33.0,CLE,C,74.0,4.0,1665.0,327.0,761.0,0.43,187.0,477.0,0.392,140.0,284.0,0.493,0.553,166.0,198.0,0.838,87.0,449.0,536.0,160.0,26.0,18.0,98.0,101.0,1007.0,0.0,6MOY-2,3
2021,81.0,Caris LeVert,27.0,2TM,SG,58.0,49.0,1781.0,379.0,854.0,0.444,82.0,256.0,0.32,297.0,598.0,0.497,0.492,146.0,193.0,0.756,43.0,171.0,214.0,248.0,51.0,23.0,108.0,131.0,986.0,0.0,,2
2021,81.0,Caris LeVert,27.0,IND,SG,39.0,39.0,1214.0,278.0,622.0,0.447,61.0,189.0,0.323,217.0,433.0,0.501,0.496,111.0,146.0,0.76,30.0,120.0,150.0,173.0,35.0,18.0,75.0,91.0,728.0,0.0,,2
2021,81.0,Caris LeVert,27.0,CLE,SG,19.0,10.0,567.0,101.0,232.0,0.435,21.0,67.0,0.313,80.0,165.0,0.485,0.481,35.0,47.0,0.745,13.0,51.0,64.0,75.0,16.0,5.0,33.0,40.0,258.0,0.0,,2
2021,96.0,Spencer Dinwiddie,28.0,2TM,PG,67.0,51.0,1980.0,306.0,735.0,0.416,112.0,330.0,0.339,194.0,405.0,0.479,0.493,195.0,252.0,0.774,45.0,234.0,279.0,346.0,44.0,13.0,104.0,150.0,919.0,1.0,,3
2021,96.0,Spencer Dinwiddie,28.0,WAS,PG,44.0,44.0,1330.0,185.0,492.0,0.376,70.0,226.0,0.31,115.0,266.0,0.432,0.447,116.0,143.0,0.811,36.0,171.0,207.0,256.0,27.0,7.0,73.0,107.0,556.0,1.0,,3
2021,96.0,Spencer Dinwiddie,28.0,DAL,PG,23.0,7.0,650.0,121.0,243.0,0.498,42.0,104.0,0.404,79.0,139.0,0.568,0.584,79.0,109.0,0.725,9.0,63.0,72.0,90.0,17.0,6.0,31.0,43.0,363.0,0.0,,3
2021,113.0,Norman Powell,28.0,2TM,SG,45.0,41.0,1458.0,279.0,605.0,0.461,106.0,253.0,0.419,173.0,352.0,0.491,0.549,189.0,233.0,0.811,20.0,125.0,145.0,96.0,42.0,21.0,69.0,106.0,853.0,0.0,,4
2021,113.0,Norman Powell,28.0,POR,SF,40.0,39.0,1333.0,247.0,542.0,0.456,93.0,229.0,0.406,154.0,313.0,0.492,0.542,159.0,198.0,0.803,17.0,114.0,131.0,82.0,40.0,17.0,62.0,92.0,746.0,0.0,,4
2021,113.0,Norman Powell,28.0,LAC,SG,5.0,2.0,125.0,32.0,63.0,0.508,13.0,24.0,0.542,19.0,39.0,0.487,0.611,30.0,35.0,0.857,3.0,11.0,14.0,14.0,2.0,4.0,7.0,14.0,107.0,0.0,,4
2021,131.0,Eric Gordon,33.0,HOU,SG,57.0,46.0,1669.0,268.0,564.0,0.475,124.0,301.0,0.412,144.0,263.0,0.548,0.585,105.0,135.0,0.778,15.0,98.0,113.0,154.0,28.0,18.0,107.0,63.0,765.0,0.0,,2
2021,141.0,Dwight Powell,30.0,DAL,C,82.0,71.0,1798.0,269.0,401.0,0.671,13.0,37.0,0.351,256.0,364.0,0.703,0.687,166.0,212.0,0.783,173.0,231.0,404.0,97.0,37.0,39.0,64.0,220.0,717.0,0.0,,2
2021,143.0,Cedi Osman,26.0,CLE,SF,66.0,3.0,1462.0,247.0,572.0,0.432,128.0,359.0,0.357,119.0,213.0,0.559,0.544,87.0,131.0,0.664,25.0,121.0,146.0,135.0,52.0,10.0,67.0,127.0,709.0,0.0,,2
2021,155.0,Gary Harris,27.0,ORL,SG,61.0,30.0,1730.0,240.0,553.0,0.434,116.0,302.0,0.384,124.0,251.0,0.494,0.539,83.0,95.0,0.874,36.0,86.0,122.0,108.0,59.0,9.0,61.0,112.0,679.0,0.0,,4
2021,160.0,Josh Richardson,28.0,2TM,SG,65.0,7.0,1600.0,234.0,534.0,0.438,102.0,246.0,0.415,132.0,288.0,0.458,0.534,96.0,108.0,0.889,42.0,143.0,185.0,115.0,56.0,29.0,66.0,116.0,666.0,0.0,,4
2021,160.0,Josh Richardson,28.0,BOS,SG,44.0,0.0,1087.0,152.0,343.0,0.443,62.0,156.0,0.397,90.0,187.0,0.481,0.534,61.0,71.0,0.859,26.0,99.0,125.0,66.0,34.0,23.0,39.0,82.0,427.0,0.0,,4
2021,160.0,Josh Richardson,28.0,SAS,SG,21.0,7.0,513.0,82.0,191.0,0.429,40.0,90.0,0.444,42.0,101.0,0.416,0.534,35.0,37.0,0.946,16.0,44.0,60.0,49.0,22.0,6.0,27.0,34.0,239.0,0.0,,4
2021,186.0,Robert Covington,31.0,2TM,PF,71.0,42.0,1940.0,209.0,498.0,0.42,128.0,339.0,0.378,81.0,159.0,0.509,0.548,58.0,69.0,0.841,59.0,332.0,391.0,92.0,103.0,91.0,75.0,190.0,604.0,0.0,,4
2021,186.0,Robert Covington,31.0,POR,PF,48.0,40.0,1431.0,128.0,336.0,0.381,79.0,230.0,0.343,49.0,106.0,0.462,0.499,30.0,36.0,0.833,41.0,233.0,274.0,68.0,74.0,63.0,58.0,132.0,365.0,0.0,,4
2021,186.0,Robert Covington,31.0,LAC,PF,23.0,2.0,509.0,81.0,162.0,0.5,49.0,109.0,0.45,32.0,53.0,0.604,0.651,28.0,33.0,0.848,18.0,99.0,117.0,24.0,29.0,28.0,17.0,58.0,239.0,0.0,,4
2021,191.0,Dillon Brooks,26.0,MEM,SF,32.0,31.0,885.0,227.0,526.0,0.432,46.0,149.0,0.309,181.0,377.0,0.48,0.475,90.0,106.0,0.849,29.0,73.0,102.0,88.0,36.0,8.0,50.0,105.0,590.0,0.0,,2
2021,199.0,Royce O'Neale,28.0,UTA,SF,77.0,77.0,2406.0,203.0,444.0,0.457,119.0,306.0,0.389,84.0,138.0,0.609,0.591,45.0,56.0,0.804,64.0,304.0,368.0,191.0,86.0,32.0,79.0,183.0,570.0,0.0,,2
2021,208.0,Myles Turner,25.0,IND,C,42.0,42.0,1235.0,200.0,393.0,0.509,61.0,183.0,0.333,139.0,210.0,0.662,0.587,79.0,105.0,0.752,65.0,232.0,297.0,44.0,28.0,118.0,54.0,119.0,540.0,0.0,,3
2021,211.0,Eric Bledsoe,32.0,LAC,PG,54.0,29.0,1361.0,197.0,468.0,0.421,51.0,163.0,0.313,146.0,305.0,0.479,0.475,89.0,117.0,0.761,28.0,154.0,182.0,225.0,69.0,19.0,116.0,85.0,534.0,0.0,,3
2021,225.0,Taurean Prince,27.0,MIN,PF,69.0,8.0,1177.0,177.0,390.0,0.454,86.0,229.0,0.376,91.0,161.0,0.565,0.564,62.0,82.0,0.756,26.0,148.0,174.0,68.0,47.0,23.0,53.0,116.0,502.0,0.0,,2
2021,283.0,Draymond Green,31.0,GSW,PF,46.0,44.0,1329.0,135.0,257.0,0.525,16.0,54.0,0.296,119.0,203.0,0.586,0.556,60.0,91.0,0.659,45.0,291.0,336.0,320.0,61.0,50.0,139.0,136.0,346.0,1.0,"DPOY-10,AS,DEF2",2
2021,301.0,Larry Nance Jr.,29.0,2TM,PF,46.0,11.0,1040.0,129.0,247.0,0.522,23.0,70.0,0.329,106.0,177.0,0.599,0.569,40.0,57.0,0.702,72.0,176.0,248.0,81.0,43.0,20.0,37.0,84.0,321.0,0.0,,3
2021,301.0,Larry Nance Jr.,29.0,POR,C,37.0,11.0,858.0,102.0,198.0,0.515,19.0,62.0,0.306,83.0,136.0,0.61,0.563,32.0,49.0,0.653,58.0,151.0,209.0,73.0,38.0,13.0,27.0,67.0,255.0,0.0,,3
2021,301.0,Larry Nance Jr.,29.0,NOP,PF,9.0,0.0,182.0,27.0,49.0,0.551,4.0,8.0,0.5,23.0,41.0,0.561,0.592,8.0,8.0,1.0,14.0,25.0,39.0,8.0,5.0,7.0,10.0,17.0,66.0,0.0,,3
2022,2.0,Joel Embiid,28.0,PHI,C,66.0,66.0,2284.0,728.0,1328.0,0.548,66.0,200.0,0.33,662.0,1128.0,0.587,0.573,661.0,771.0,0.857,113.0,557.0,670.0,274.0,66.0,112.0,226.0,205.0,2183.0,1.0,"MVP-1,DPOY-9,CPOY-5,AS,NBA1",5
2022,14.0,Jaylen Brown,26.0,BOS,SF,67.0,67.0,2405.0,679.0,1383.0,0.491,163.0,487.0,0.335,516.0,896.0,0.576,0.55,263.0,344.0,0.765,78.0,381.0,459.0,232.0,75.0,26.0,197.0,172.0,1784.0,0.0,"AS,NBA2",3
2022,15.0,Pascal Siakam,28.0,TOR,PF,71.0,71.0,2652.0,630.0,1313.0,0.48,93.0,287.0,0.324,537.0,1026.0,0.523,0.515,367.0,474.0,0.774,131.0,425.0,556.0,415.0,65.0,36.0,169.0,228.0,1720.0,2.0,AS,3
2022,28.0,Dejounte Murray,26.0,ATL,SG,74.0,74.0,2693.0,612.0,1319.0,0.464,133.0,387.0,0.344,479.0,932.0,0.514,0.514,158.0,190.0,0.832,53.0,336.0,389.0,448.0,112.0,19.0,160.0,106.0,1515.0,1.0,,3
2022,29.0,Domantas Sabonis,26.0,SAC,C,79.0,79.0,2736.0,577.0,938.0,0.615,31.0,83.0,0.373,546.0,855.0,0.639,0.632,325.0,438.0,0.742,251.0,722.0,973.0,573.0,65.0,39.0,230.0,279.0,1510.0,14.0,"MVP-7,AS,NBA3",3
2022,34.0,Devin Booker,26.0,PHO,SG,53.0,53.0,1835.0,527.0,1067.0,0.494,111.0,316.0,0.351,416.0,751.0,0.554,0.546,306.0,358.0,0.855,46.0,194.0,240.0,293.0,51.0,18.0,145.0,159.0,1471.0,0.0,,4
2022,45.0,Buddy Hield,30.0,IND,SF,80.0,73.0,2482.0,475.0,1038.0,0.458,288.0,677.0,0.425,187.0,361.0,0.518,0.596,106.0,129.0,0.822,67.0,333.0,400.0,225.0,92.0,26.0,139.0,156.0,1344.0,0.0,,3
2022,51.0,Jamal Murray,25.0,DEN,PG,65.0,65.0,2133.0,473.0,1041.0,0.454,172.0,432.0,0.398,301.0,609.0,0.494,0.537,180.0,216.0,0.833,48.0,209.0,257.0,400.0,66.0,16.0,145.0,103.0,1298.0,1.0,,3
2022,64.0,James Harden,33.0,PHI,PG,58.0,58.0,2135.0,371.0,842.0,0.441,161.0,418.0,0.385,210.0,424.0,0.495,0.536,313.0,361.0,0.867,40.0,314.0,354.0,618.0,71.0,31.0,195.0,112.0,1216.0,5.0,,4
2022,72.0,Russell Westbrook,34.0,2TM,PG,73.0,24.0,2126.0,432.0,991.0,0.436,89.0,286.0,0.311,343.0,705.0,0.487,0.481,206.0,314.0,0.656,89.0,334.0,423.0,551.0,76.0,33.0,255.0,162.0,1159.0,4.0,6MOY-9,5
2022,72.0,Russell Westbrook,34.0,LAL,PG,52.0,3.0,1491.0,304.0,729.0,0.417,63.0,213.0,0.296,241.0,516.0,0.467,0.46,156.0,238.0,0.655,59.0,262.0,321.0,391.0,53.0,23.0,184.0,121.0,827.0,4.0,,5
2022,72.0,Russell Westbrook,34.0,LAC,PG,21.0,21.0,635.0,128.0,262.0,0.489,26.0,73.0,0.356,102.0,189.0,0.54,0.538,50.0,76.0,0.658,30.0,72.0,102.0,160.0,23.0,10.0,71.0,41.0,332.0,0.0,,5
2022,81.0,Myles Turner,26.0,IND,C,62.0,62.0,1825.0,402.0,733.0,0.548,93.0,249.0,0.373,309.0,484.0,0.638,0.612,216.0,276.0,0.783,88.0,378.0,466.0,89.0,36.0,140.0,103.0,215.0,1113.0,0.0,,4
2022,89.0,Dillon Brooks,27.0,MEM,SF,73.0,73.0,2214.0,392.0,991.0,0.396,143.0,439.0,0.326,249.0,552.0,0.451,0.468,120.0,154.0,0.779,45.0,199.0,244.0,189.0,65.0,16.0,104.0,240.0,1047.0,0.0,DEF2,3
2022,110.0,Caris LeVert,28.0,CLE,SG,74.0,30.0,2237.0,320.0,742.0,0.431,127.0,324.0,0.392,193.0,418.0,0.462,0.517,130.0,180.0,0.722,53.0,229.0,282.0,287.0,72.0,24.0,116.0,170.0,897.0,0.0,,3
2022,115.0,Eric Gordon,34.0,2TM,SG,69.0,58.0,1965.0,291.0,653.0,0.446,132.0,356.0,0.371,159.0,297.0,0.535,0.547,142.0,173.0,0.821,16.0,118.0,134.0,183.0,43.0,25.0,104.0,78.0,856.0,0.0,,3
2022,115.0,Eric Gordon,34.0,HOU,SG,47.0,47.0,1418.0,210.0,478.0,0.439,85.0,245.0,0.347,125.0,233.0,0.536,0.528,110.0,135.0,0.815,12.0,85.0,97.0,136.0,30.0,17.0,83.0,45.0,615.0,0.0,,3
2022,115.0,Eric Gordon,34.0,LAC,SG,22.0,11.0,547.0,81.0,175.0,0.463,47.0,111.0,0.423,34.0,64.0,0.531,0.597,32.0,38.0,0.842,4.0,33.0,37.0,47.0,13.0,8.0,21.0,33.0,241.0,0.0,,3
2022,168.0,Royce O'Neale,29.0,BRK,SF,76.0,53.0,2409.0,229.0,593.0,0.386,163.0,419.0,0.389,66.0,174.0,0.379,0.524,50.0,69.0,0.725,55.0,329.0,384.0,283.0,65.0,49.0,114.0,239.0,671.0,1.0,,3
2022,169.0,Cedi Osman,27.0,CLE,SF,77.0,2.0,1548.0,239.0,530.0,0.451,116.0,312.0,0.372,123.0,218.0,0.564,0.56,75.0,108.0,0.694,25.0,151.0,176.0,115.0,35.0,11.0,52.0,122.0,669.0,0.0,,3
2022,190.0,Andrew Wiggins,27.0,GSW,SF,37.0,37.0,1190.0,250.0,529.0,0.473,89.0,225.0,0.396,161.0,304.0,0.53,0.557,44.0,72.0,0.611,61.0,125.0,186.0,85.0,45.0,28.0,48.0,107.0,633.0,0.0,,5
2022,192.0,Draymond Green,32.0,GSW,PF,73.0,73.0,2297.0,250.0,474.0,0.527,40.0,131.0,0.305,210.0,343.0,0.612,0.57,77.0,108.0,0.713,66.0,459.0,525.0,500.0,74.0,60.0,204.0,229.0,617.0,0.0,"DPOY-4,DEF2",3
2022,199.0,Karl-Anthony Towns,27.0,MIN,PF,29.0,29.0,957.0,212.0,428.0,0.495,60.0,164.0,0.366,152.0,264.0,0.576,0.565,118.0,135.0,0.874,48.0,188.0,236.0,140.0,20.0,17.0,86.0,111.0,602.0,0.0,,4
2022,225.0,Kevin Love,34.0,2TM,PF,62.0,20.0,1240.0,165.0,424.0,0.389,99.0,296.0,0.334,66.0,128.0,0.516,0.506,80.0,91.0,0.879,59.0,340.0,399.0,116.0,16.0,12.0,70.0,97.0,509.0,0.0,,4
2022,225.0,Kevin Love,34.0,CLE,PF,41.0,3.0,821.0,111.0,285.0,0.389,69.0,195.0,0.354,42.0,90.0,0.467,0.511,56.0,63.0,0.889,42.0,238.0,280.0,76.0,7.0,7.0,47.0,65.0,347.0,0.0,,4
2022,225.0,Kevin Love,34.0,MIA,PF,21.0,17.0,419.0,54.0,139.0,0.388,30.0,101.0,0.297,24.0,38.0,0.632,0.496,24.0,28.0,0.857,17.0,102.0,119.0,40.0,9.0,5.0,23.0,32.0,162.0,0.0,,4
2022,227.0,Dwight Powell,31.0,DAL,C,76.0,64.0,1458.0,197.0,269.0,0.732,0.0,5.0,0.0,197.0,264.0,0.746,0.732,112.0,168.0,0.667,149.0,165.0,314.0,69.0,48.0,26.0,65.0,209.0,506.0,0.0,,3
2022,247.0,Larry Nance Jr.,30.0,NOP,C,65.0,1.0,1381.0,186.0,305.0,0.61,14.0,42.0,0.333,172.0,263.0,0.654,0.633,55.0,79.0,0.696,106.0,248.0,354.0,119.0,56.0,37.0,42.0,133.0,441.0,0.0,,4
2022,266.0,John Wall,32.0,LAC,PG,34.0,3.0,755.0,138.0,338.0,0.408,33.0,109.0,0.303,105.0,229.0,0.459,0.457,77.0,113.0,0.681,14.0,78.0,92.0,178.0,27.0,12.0,80.0,59.0,386.0,0.0,,4
2022,303.0,Ben Simmons,26.0,BRK,PG,42.0,33.0,1105.0,133.0,235.0,0.566,0.0,2.0,0.0,133.0,233.0,0.571,0.566,25.0,57.0,0.439,40.0,223.0,263.0,256.0,54.0,24.0,97.0,139.0,291.0,1.0,,3
2023,13.0,Devin Booker,27.0,PHO,PG,68.0,68.0,2447.0,642.0,1305.0,0.492,152.0,418.0,0.364,490.0,887.0,0.552,0.55,405.0,457.0,0.886,56.0,252.0,308.0,472.0,61.0,28.0,178.0,206.0,1841.0,0.0,"AS,NBA3",5
2023,18.0,Dejounte Murray,27.0,ATL,SG,78.0,78.0,2783.0,672.0,1463.0,0.459,201.0,554.0,0.363,471.0,909.0,0.518,0.528,208.0,262.0,0.794,62.0,354.0,416.0,502.0,111.0,24.0,201.0,138.0,1753.0,1.0,,4
2023,19.0,Pascal Siakam,29.0,2TM,PF,80.0,80.0,2657.0,681.0,1271.0,0.536,85.0,246.0,0.346,596.0,1025.0,0.581,0.569,290.0,396.0,0.732,139.0,426.0,565.0,342.0,63.0,25.0,141.0,193.0,1737.0,1.0,,4
2023,19.0,Pascal Siakam,29.0,TOR,PF,39.0,39.0,1354.0,325.0,623.0,0.522,46.0,145.0,0.317,279.0,478.0,0.584,0.559,169.0,223.0,0.758,54.0,192.0,246.0,190.0,32.0,10.0,83.0,87.0,865.0,0.0,,4
2023,19.0,Pascal Siakam,29.0,IND,PF,41.0,41.0,1303.0,356.0,648.0,0.549,39.0,101.0,0.386,317.0,547.0,0.58,0.579,121.0,173.0,0.699,85.0,234.0,319.0,152.0,31.0,15.0,58.0,106.0,872.0,1.0,,4
2023,22.0,Jaylen Brown,27.0,BOS,SF,70.0,70.0,2343.0,627.0,1256.0,0.499,145.0,410.0,0.354,482.0,846.0,0.57,0.557,211.0,300.0,0.703,84.0,303.0,387.0,249.0,83.0,37.0,166.0,185.0,1610.0,1.0,AS,4
2023,26.0,Domantas Sabonis,27.0,SAC,C,82.0,82.0,2928.0,634.0,1068.0,0.594,33.0,87.0,0.379,601.0,981.0,0.613,0.609,292.0,415.0,0.704,294.0,826.0,1120.0,673.0,74.0,48.0,272.0,250.0,1593.0,26.0,"MVP-8,DPOY-10,NBA3",4
2023,49.0,Karl-Anthony Towns,28.0,MIN,PF,62.0,62.0,2026.0,479.0,951.0,0.504,136.0,327.0,0.416,343.0,624.0,0.55,0.575,255.0,292.0,0.873,94.0,421.0,515.0,189.0,43.0,41.0,177.0,204.0,1349.0,0.0,AS,5
2023,62.0,Jamal Murray,26.0,DEN,PG,59.0,59.0,1861.0,474.0,986.0,0.481,145.0,341.0,0.425,329.0,645.0,0.51,0.554,157.0,184.0,0.853,42.0,200.0,242.0,384.0,57.0,39.0,125.0,104.0,1250.0,0.0,,4
2023,94.0,Buddy Hield,31.0,2TM,SF,84.0,42.0,2160.0,371.0,850.0,0.436,219.0,568.0,0.386,152.0,282.0,0.539,0.565,52.0,59.0,0.881,61.0,208.0,269.0,236.0,70.0,42.0,103.0,169.0,1013.0,0.0,,4
2023,94.0,Buddy Hield,31.0,IND,SF,52.0,28.0,1336.0,229.0,517.0,0.443,137.0,357.0,0.384,92.0,160.0,0.575,0.575,28.0,33.0,0.848,34.0,133.0,167.0,139.0,43.0,31.0,62.0,103.0,623.0,0.0,,4
2023,94.0,Buddy Hield,31.0,PHI,SG,32.0,14.0,824.0,142.0,333.0,0.426,82.0,211.0,0.389,60.0,122.0,0.492,0.55,24.0,26.0,0.923,27.0,75.0,102.0,97.0,27.0,11.0,41.0,66.0,390.0,0.0,,4
2023,155.0,Eric Gordon,35.0,PHO,SG,68.0,24.0,1893.0,274.0,618.0,0.443,150.0,397.0,0.378,124.0,221.0,0.561,0.565,51.0,64.0,0.797,16.0,106.0,122.0,139.0,66.0,30.0,73.0,79.0,749.0,0.0,,4
2023,181.0,Royce O'Neale,30.0,2TM,SF,79.0,14.0,1954.0,214.0,539.0,0.397,156.0,422.0,0.37,58.0,117.0,0.496,0.542,24.0,35.0,0.686,60.0,317.0,377.0,219.0,59.0,44.0,73.0,174.0,608.0,0.0,,4
2023,181.0,Royce O'Neale,30.0,BRK,SF,49.0,6.0,1202.0,126.0,325.0,0.388,97.0,265.0,0.366,29.0,60.0,0.483,0.537,15.0,22.0,0.682,38.0,183.0,221.0,137.0,32.0,29.0,51.0,120.0,364.0,0.0,,4
2023,181.0,Royce O'Neale,30.0,PHO,SF,30.0,8.0,752.0,88.0,214.0,0.411,59.0,157.0,0.376,29.0,57.0,0.509,0.549,9.0,13.0,0.692,22.0,134.0,156.0,82.0,27.0,15.0,22.0,54.0,244.0,0.0,,4
2023,224.0,Cedi Osman,28.0,SAS,SF,72.0,3.0,1269.0,184.0,384.0,0.479,86.0,221.0,0.389,98.0,163.0,0.601,0.591,35.0,52.0,0.673,25.0,155.0,180.0,119.0,36.0,11.0,47.0,107.0,489.0,0.0,,4
2023,230.0,Draymond Green,33.0,GSW,PF,55.0,52.0,1490.0,185.0,372.0,0.497,51.0,129.0,0.395,134.0,243.0,0.551,0.566,54.0,74.0,0.73,76.0,322.0,398.0,332.0,55.0,47.0,135.0,166.0,475.0,1.0,,4
2023,412.0,Ben Simmons,27.0,BRK,PG,15.0,12.0,359.0,43.0,74.0,0.581,0.0,0.0,,43.0,74.0,0.581,0.581,6.0,15.0,0.4,31.0,88.0,119.0,86.0,12.0,9.0,27.0,36.0,92.0,0.0,,4
2024,31.0,Jamal Murray,27.0,DEN,PG,67.0,67.0,2418.0,531.0,1121.0,0.474,156.0,397.0,0.393,375.0,724.0,0.518,0.543,218.0,246.0,0.886,45.0,216.0,261.0,403.0,91.0,33.0,138.0,128.0,1436.0,0.0,,5
2024,331.0,Ben Simmons,28.0,2TM,PG,51.0,24.0,1120.0,116.0,223.0,0.52,0.0,0.0,,116.0,223.0,0.52,0.52,24.0,33.0,0.727,47.0,194.0,241.0,285.0,38.0,23.0,102.0,107.0,256.0,0.0,,5
2024,331.0,Ben Simmons,28.0,BRK,PG,33.0,24.0,825.0,93.0,170.0,0.547,0.0,0.0,,93.0,170.0,0.547,0.547,18.0,26.0,0.692,30.0,142.0,172.0,229.0,26.0,16.0,88.0,81.0,204.0,0.0,,5
2024,331.0,Ben Simmons,28.0,LAC,PG,18.0,0.0,295.0,23.0,53.0,0.434,0.0,0.0,,23.0,53.0,0.434,0.434,6.0,7.0,0.857,17.0,52.0,69.0,56.0,12.0,7.0,14.0,26.0,52.0,0.0,,5
